273,厦门广播电台,王亚坤、陈展红,地市级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/2f2739689fb5478ce0055b8dfab49ad.png
275,厦门广电,王亚坤、陈展红,地市级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/0ee6f8bd3b3bddf2c9a573411295a0d.png
497,海西晨报,王亚坤,省部级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/ff91711349d5075b130d6a64c3a4f53.jpg
276,业翔民安,王亚坤、陈展红,地市级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/9bc8241b3c5902ace46d1ac62480738.png
562,厦门综合广播,王亚坤,地市级,
563,思明快报,王亚坤,地市级,
628,网易网,丁高洁,省部级,融企联谊促交流，这场以球会友的篮球赛白云开打|华南|广东|广州|珠海|联谊_手机网易网 (163.com)
621,百度亮亮新世界,姚瑞哲,省部级,T1、T2成功“牵手”！广州白云机场成世界最大单体航站楼 (baidu.com)
607,CCTV-1,陈志诚,中央级,
629,新快网,丁高洁,省部级,融企联谊促交流，这场以球会友的篮球赛白云开打__新快网 (xkb.com.cn)
694,中国广州政府,姚瑞哲,地市级,白云机场东四西四指廊投运 - 广州市人民政府门户网站 (gz.gov.cn)
223,海西晨报,王亚坤、陈展红,省部级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/1e6b74e4b6a9cd3f82fe64a5ee694c7.png
624,广东消委会,姚瑞哲,省部级,合体！全球最大！广州白云机场宣布 (qq.com)
702,物流新闻,姚瑞哲,地市级,广州白云机场东四西四指廊投运 - 物流指闻 (headscm.com)
969,I听厦门,王亚坤,地市级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/b8e28b387f6f9eb96e623f8fb636442.png
892,海西晨报,王亚坤,省部级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/4964933a9ef76b22293f8b6ce64089f.png
177,椰城椰城 ,,省部级,通行效率提高5成！海口这个匝道通车→ (qq.com)
179,北青网,,省部级,海口滨海立交改造工程项目开放通车 (baidu.com)
1017,中航工业,王亚坤,行业,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/8e04fc46bc2eb96d23d00c83d80e027.png
778,中国基层网,朱莹、邓讷,中央级,http://www.chinajiceng.com.cn/news/2024-11-29/266776.html
117,中国基层网,王亚坤,中央级,http://www.chinajiceng.com.cn/news/2024-03-16/242469.html
153,广东资讯网,欧阳琳,省部级,http://syjinri.cn/529/MTEyNDcwNzY4.html
864,广东资讯网,蔡雯静,省部级,http://syjinri.cn/529/MTI4NzI3NTQ5.html
869,广东资讯网,蔡雯静,省部级,http://syjinri.cn/529/MTQ5NzUzNjAx.html
121,中国财经在线,王亚坤,中央级,http://zgfinance.top/a3326/ba561237970.html
172,海南新闻网,邓讷,省部级,http://binhaics.cn/450/NzU5MTA1MjQ=.html
477,海南新闻网,朱莹、邓讷,省部级,http://binhaics.cn/450/NzI3MTczODQ=.html
460,海南新闻网,邓讷、徐波,省部级,http://binhaics.cn/450/NjMzNjUyNjI=.html
469,海南新闻网,朱莹、邓讷,省部级,http://binhaics.cn/450/NjM2NDI3NzQ=.html
650,东方今报网,王吉,省部级,http://www.jinbw.com.cn/a/20240131/n_1706678456329246.html
484,今报网,王吉,省部级,http://www.jinbw.com.cn/a/20240220/n_1708397533330138.html
492,今报网,王吉,省部级,http://www.jinbw.com.cn/a/20240301/n_1709260603331114.html
648,今报网,吕昊临,省部级,http://www.jinbw.com.cn/a/20240116/n_1705396050327785.html
488,今报网,王吉,省部级,http://www.jinbw.com.cn/a/20240228/n_1709090030330828.html
498,福建企业网,王亚坤,省部级,http://fj.jkwindows.cn/e10b/b8b74015298.html
212,福建企业网,王亚坤,省部级,http://fj.jkwindows.cn/e10b/b8b85733172.html
213,福建都市网,王亚坤,省部级,http://fujian365.cn/68fb7/8f4497980760.html
217,福建都市网,王亚坤,省部级,http://fujian365.cn/68fb7/8f4499106224.html
219,福建都市网,王亚坤、蓝伟冰,省部级,http://fujian365.cn/68fb7/8f4499533528.html
